row_type,row_source_name,row_url,row_status,row_comment
News,[[The New Yorker]],[https://www.newyorker.com www.newyorker.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[The New York Times]],[https://nytimes.com/ nytimes.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[The Philadelphia Inquirer]],[https://www.inquirer.com/ www.inquirer.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[The Seattle Times]],[https://seattletimes.com seattletimes.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[Toronto Star|The Toronto Star]],[https://www.thestar.com/ www.thestar.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[The Washington Post]],[https://www.washingtonpost.com/ www.washingtonpost.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[Vox Media|Vox]],[https://vox.com/ vox.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[Wired (magazine)|Wired]],[https://wired.com/ wired.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
News,[[Winnipeg Free Press]],[https://www.winnipegfreepress.com/ www.winipegfreepress.com],"{{vsrate|reliable}}<ref name=""wpcovid19"" />",
,Conservative Woman UK,[https://www.conservativewoman.co.uk/ www.conservativewoman.co.uk],{{vsrate|unreliable}}<ref>{{Citation |title=Wikipedia:Reliable sources/Noticeboard/Archive 348 |date=2021-08-09 |url=https://en.wikipedia.org/w/index.php?title=Wikipedia:Reliable_sources/Noticeboard/Archive_348&oldid=1037862372#The_Conservative_Woman |work=Wikipedia |access-date=2023-02-09 |language=en}}</ref>,"Fringe, conspiracy theories."
,[[CounterPunch]],[https://www.counterpunch.org/ www.counterpunch.org],{{vsrate|unreliable}},
Tabloid,[[Daily Mail]],[https://www.dailymail.co.uk/ www.dailymail.co.uk],{{vsrate|conspiracy}},
News,[[The Daily Wire|Daily Wire]],[https://www.dailywire.com/ www.dailywire.com],{{vsrate|unreliable}},
Tabloid,[[The Epoch Times|Epoch Times]],[https://www.theepochtimes.com/ www.theepochtimes.com],{{vsrate|conspiracy}},
,[[The Federalist (website)|The Federalist]],[https://thefederalist.com/ thefederalist.com],{{vsrate|unreliable}},
Opinion,Hindu Post,[https://hindupost.in/ hindupost.in],{{vsrate|unreliable}}<ref>{{Citation |title=Wikipedia:Reliable sources/Noticeboard/Archive 366 |date=2022-02-16 |url=https://en.wikipedia.org/w/index.php?title=Wikipedia:Reliable_sources/Noticeboard/Archive_366&oldid=1072134436 |work=Wikipedia |access-date=2023-02-09 |language=en}}</ref>,"Generally unreliable, no review."
Community,[[HuffPost]],"[http://www.huffingtonpost.com/ www.huffingtonpost.com], [http://www.huffpost.com/ www.huffpost.com]",{{vsrate|reliable}}<ref>{{Citation |title=Wikipedia:Reliable sources/Noticeboard/Archive 339 |date=2022-05-16 |url=https://en.wikipedia.org/w/index.php?title=Wikipedia:Reliable_sources/Noticeboard/Archive_339&oldid=1088102562 |work=Wikipedia |access-date=2023-02-09 |language=en}}</ref>,"Reliable (excluding politics),<ref>{{Citation |title=Wikipedia:Reliable sources/Perennial sources |date=2023-02-07 |url=https://en.wikipedia.org/w/index.php?title=Wikipedia:Reliable_sources/Perennial_sources&oldid=1138054903 |work=Wikipedia |access-date=2023-02-09 |language=en}}</ref> since 2018."
Opinion,Independent Science News,[https://www.independentsciencenews.org/ www.independentsciencenews.org],{{vsrate|unreliable}}<ref>{{Citation |title=Wikipedia:Reliable sources/Noticeboard/Archive 327 |date=2021-02-26 |url=https://en.wikipedia.org/w/index.php?title=Wikipedia:Reliable_sources/Noticeboard/Archive_327&oldid=1009132900 |work=Wikipedia |access-date=2023-02-09 |language=en}}</ref>,"Unreliable,<ref>{{Citation |title=Talk:Mòjiāng virus |date=2020-11-04 |url=https://en.wikipedia.org/w/index.php?title=Talk:M%C3%B2ji%C4%81ng_virus&oldid=987069599 |work=Wikipedia |access-date=2023-02-09 |language=en}}</ref> fringe.<ref>{{Citation |title=Talk:Séralini affair/Archive 3 |date=2015-12-17 |url=https://en.wikipedia.org/w/index.php?title=Talk:S%C3%A9ralini_affair/Archive_3&oldid=695595084 |work=Wikipedia |access-date=2023-02-09 |language=en}}</ref>"
